,Historical Price,Forecast,Lower Confidence,Upper Confidence
2024-10-04,124.891853412822,,,
2024-10-07,127.691222525501,,,
2024-10-08,132.860057637127,,,
2024-10-09,132.620111713183,,,
2024-10-10,134.779625028679,,,
2024-10-11,134.769627281848,,,
2024-10-14,138.038890495584,,,
2024-10-15,131.570348295929,,,
2024-10-16,135.6894199903,,,
2024-10-17,136.89914735685,,,
2024-10-18,137.968906267767,,,
2024-10-21,143.677619708267,,,
2024-10-22,143.557646746295,,,
2024-10-23,139.528554773403,,,
2024-10-24,140.378363254037,,,
2024-10-25,141.50810864594,,,
2024-10-28,140.488338469178,,,
2024-10-29,141.218173987841,,,
2024-10-30,139.303605469705,,,
2024-10-31,132.730086928324,,,
2024-11-01,135.369492091708,,,
2024-11-04,136.019345635722,,,
2024-11-05,139.878475912488,,,
2024-11-06,145.577191606156,,,
2024-11-07,148.846454819892,,,
2024-11-08,147.596736466018,,,
2024-11-11,145.227270467071,,,
2024-11-12,148.256587756864,,,
2024-11-13,146.237042897002,,,
2024-11-14,146.726932491721,,,
2024-11-15,141.948009506504,,,
2024-11-18,140.118421836431,,,
2024-11-19,146.976876162496,,,
2024-11-20,145.857128517424,,,
2024-11-21,146.636952770242,,,
2024-11-22,141.918016266011,,,
2024-11-25,135.989352395229,,,
2024-11-26,136.889149610019,,,
2024-11-27,135.309505610722,,,
2024-11-28,135.309505610722,,,
2024-11-29,138.218849938542,,,
2024-12-02,138.59876431812,,,
2024-12-03,140.228397051572,,,
2024-12-04,145.107297505099,,,
2024-12-05,145.037313277282,,,
2024-12-06,142.417723033339,,,
2024-12-09,138.788290748791,,,
2024-12-10,135.048875667741,,,
2024-12-11,139.28821255107,,,
2024-12-12,137.318520650089,,,
2024-12-13,134.229003912003,,,
2024-12-16,131.979355801746,,,
2024-12-17,130.369607598406,,,
2024-12-18,128.88983906366,,,
2024-12-19,130.659562243728,,,
2024-12-20,134.678933534054,,,
2024-12-23,139.648156248711,,,
2024-12-24,140.198070231218,,,
2024-12-25,140.198070231218,,,
2024-12-26,139.908115585896,,,
2024-12-27,136.988572260585,,,
2024-12-30,137.468497190773,,,
2024-12-31,134.268997656185,,,
2025-01-01,134.268997656185,,,
2025-01-02,138.288368946511,,,
2025-01-03,144.447405550593,,,
2025-01-06,149.406629829204,,,
2025-01-07,140.118082742854,,,
2025-01-08,140.088087434717,,,
2025-01-09,140.088087434717,,,
2025-01-10,135.88874429557,,,
2025-01-13,133.209163435353,,,
2025-01-14,131.739393336652,,,
2025-01-15,136.218692685075,,,
2025-01-16,133.549110260903,,,
2025-01-17,137.688462783776,,,
2025-01-20,137.688462783776,,,
2025-01-21,140.807974829999,,,
2025-01-22,147.046998922445,,,
2025-01-23,147.196975463129,,,
2025-01-24,142.597694882159,,,
2025-01-27,118.401479651839,,,
2025-01-28,128.969826552024,,,
2025-01-29,123.680653883909,,,
2025-01-30,124.63050530824,,,
2025-01-31,120.051221599361,,,
2025-02-03,116.641754907816,,,
2025-02-04,118.631443680888,,,
2025-02-05,124.81047715706,,,
2025-02-06,128.659875034611,,,
2025-02-07,129.819693615899,,,
2025-02-10,133.549110260903,,,
2025-02-11,132.779230685393,,,
2025-02-12,131.119490301825,,,
2025-02-13,135.268841260744,,,
2025-02-14,138.828284492973,,,
2025-02-17,138.828284492973,,,
2025-02-18,139.37819847548,,,
2025-02-19,139.208225062705,,,
2025-02-20,140.088087434717,,,
2025-02-21,134.408975760824,,,
2025-02-24,130.259624801905,,,
2025-02-25,126.610195645266,,,
2025-02-26,131.259468406464,,,
2025-02-27,120.131209087726,,,
2025-02-28,124.90046308147,,,
2025-03-03,114.042161535963,,,
2025-03-04,115.971859692761,,,
2025-03-05,117.281654814733,,,
2025-03-06,110.552707356053,,,
2025-03-07,112.672375797718,,,
2025-03-10,106.963268815688,,,
2025-03-11,108.742990431802,,,
2025-03-12,115.731897227667,,,
2025-03-13,115.571908429012,,,
2025-03-14,121.661482077849,,,
2025-03-17,119.521631895828,,,
2025-03-18,115.421918930272,,,
2025-03-19,117.511772612714,,,
2025-03-20,118.521701904229,,,
2025-03-21,117.691760011201,,,
2025-03-24,121.401500280034,,,
2025-03-25,120.681550686082,,,
2025-03-26,113.752035844301,,,
2025-03-27,111.422198963876,,,
2025-03-28,109.662322178661,,,
2025-03-31,108.372412489499,,,
2025-04-01,110.142288574629,,,
2025-04-02,110.412269672361,,,
2025-04-03,101.792873144777,,,
2025-04-04,94.3033975077009,,,
2025-04-07,97.6331643797256,,,
2025-04-08,96.2932581909829,,,
2025-04-09,114.321995939513,,,
2025-04-10,107.562469196304,,,
2025-04-11,110.922233968076,,,
2025-04-14,110.702249369924,,,
2025-04-15,112.192145057407,,,
2025-04-16,104.482684822179,,,
2025-04-17,101.482894847382,,,
2025-04-18,101.482894847382,,,
2025-04-21,96.9032154858583,,,
2025-04-22,98.8830768692243,,,
2025-04-23,102.702809437132,,,
2025-04-24,106.422549005881,,,
2025-04-25,111.002228367404,,,
2025-04-28,108.722387986558,,,
2025-04-29,109.012367684122,,,
2025-04-30,108.912374684962,,,
2025-05-01,111.602186362363,,,
2025-05-02,114.491984038085,,,
2025-05-05,113.812031643797,,,
2025-05-06,113.53205124615,,,
2025-05-07,117.051804816578,,,
2025-05-08,117.361783113974,,,
2025-05-09,116.641833520022,,,
2025-05-12,122.991388966676,,,
2025-05-13,129.920903808457,,,
2025-05-14,135.330525063008,,,
2025-05-15,134.820560767292,,,
2025-05-16,135.390520862504,,,
2025-05-19,135.560508961075,,,
2025-05-20,134.370592271073,,,
2025-05-21,131.790772892747,,,
2025-05-22,132.820700784094,,,
2025-05-23,131.280808597032,,,
2025-05-26,131.280808597032,,,
2025-05-27,135.490513861663,,,
2025-05-28,134.80056216746,,,
2025-05-29,139.180255530664,,,
2025-05-30,135.120539764772,,,
2025-06-02,137.37038224587,,,
2025-06-03,141.21011341361,,,
2025-06-04,141.910064407729,,,
2025-06-05,139.980199523943,,,
2025-06-06,141.710078409409,,,
2025-06-09,142.620014701764,,,
2025-06-10,143.949921590591,,,
2025-06-11,142.83,,,
2025-06-12,145.0,,,
2025-06-13,141.97,,,
2025-06-16,144.69,,,
2025-06-17,144.12,,,
2025-06-18,145.48,,,
2025-06-19,145.48,,,
2025-06-20,143.85,,,
2025-06-23,144.17,,,
2025-06-24,147.9,,,
2025-06-25,154.31,,,
2025-06-26,155.02,,,
2025-06-27,157.75,,,
2025-06-30,157.99,,,
2025-07-01,153.3,,,
2025-07-02,157.25,,,
2025-07-03,159.34,,,
2025-07-04,159.34,,,
2025-07-07,158.24,,,
2025-07-08,160.0,,,
2025-07-09,162.88,,,
2025-07-10,164.1,,,
2025-07-11,164.92,,,
2025-07-14,164.07,,,
2025-07-15,170.7,,,
2025-07-16,171.37,,,
2025-07-17,173.0,,,
2025-07-18,172.41,,,
2025-07-21,171.38,,,
2025-07-22,167.03,,,
2025-07-23,170.78,,,
2025-07-24,173.74,,,
2025-07-25,173.5,,,
2025-07-28,176.75,,,
2025-07-29,175.51,,,
2025-07-30,179.27,,,
2025-07-31,177.87,,,
2025-08-01,173.72,,,
2025-08-04,180.0,,,
2025-08-05,,179.2331388990214,177.2902534510655,181.17602434697733
2025-08-06,,179.74339835734006,177.10773888867578,182.37905782600433
2025-08-07,,179.57066309259272,176.3201998855335,182.82112629965195
2025-08-08,,179.57374468072194,175.84584104243365,183.30164831901024
2025-08-11,,179.4751584308737,175.33287010629107,183.61744675545634
2025-08-12,,179.4896562808661,174.98291621052786,183.9963963512043
2025-08-13,,179.47903422172166,174.63382960878465,184.32423883465867
2025-08-14,,179.48603170080244,174.32507659753293,184.64698680407196
2025-08-15,,179.48628048371958,174.02692731136054,184.94563365607863
2025-08-18,,179.48807178962616,173.74567203739804,185.23047154185429
2025-08-19,,179.48772832255972,173.47543868221473,185.5000179629047
2025-08-20,,179.48786364876196,173.2173238326773,185.75840346484662
2025-08-21,,179.4876767534015,172.96911079768884,186.00624270911416
2025-08-22,,179.4876721118373,172.73019541629932,186.24514880737527
2025-08-25,,179.48763951661684,172.49941687816917,186.4758621550645
2025-08-26,,179.48764977061626,172.27606249357913,186.69923704765338
2025-08-27,,179.4876489388547,172.0594095121403,186.91588836556912
2025-08-28,,179.4876532656705,171.8489037830603,187.1264027482807
2025-08-29,,179.48765324574188,171.6440410884797,187.33126540300407
2025-09-01,,179.4876537733043,171.44439511340397,187.5309124332046
2025-09-02,,179.48765347111723,171.24958522708255,187.7257217151519
2025-09-03,,179.48765345461564,171.05927718849082,187.91602972074045
2025-09-04,,179.48765336304712,170.87317227125507,188.10213445483916
2025-09-05,,179.48765336889787,170.69100387186208,188.28430286593365
2025-09-08,,179.4876533622172,170.51253217784202,188.46277454659239
2025-09-09,,179.48765337039382,170.3375409025169,188.63776583827072
2025-09-10,,179.48765337116114,170.1658340161863,188.809472726136
2025-09-11,,179.48765337292494,169.99723325572737,188.9780734901225
2025-09-12,,179.48765337262313,169.83157591245276,189.1437308327935
2025-09-15,,179.4876533726599,169.66871301067414,189.30659373464567
